,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,revenue_alt,stockholders_equity,total_assets,total_liabilities
9,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2009-12-31,10-K,2010-02-26,490000000.0,,1360000000.0,2771000000.0,13489000000.0,,13140000000.0,48348000000.0,35147000000.0
10,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2009-12-31,10-K,2011-02-25,490000000.0,17498000000.0,1360000000.0,481000000.0,3282000000.0,,13140000000.0,48348000000.0,35147000000.0
11,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2009-12-31,10-K,2012-02-28,490000000.0,,1360000000.0,2771000000.0,13489000000.0,,,,
12,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2009-12-31,10-K,2013-02-26,490000000.0,,,,,,,,
8,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2009-09-30,10-K,2011-02-25,,,,858000000.0,3547000000.0,,,,
7,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2009-06-30,10-K,2011-02-25,,,,682000000.0,3202000000.0,,,,
6,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2009-03-31,10-K,2011-02-25,,,,750000000.0,3458000000.0,,,,
3,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2008-12-31,10-K,2010-02-26,411000000.0,,1383000000.0,2787000000.0,14440000000.0,,10693000000.0,45155000000.0,34384000000.0
4,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2008-12-31,10-K,2011-02-25,411000000.0,,1383000000.0,2787000000.0,14440000000.0,,,,
5,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2008-12-31,10-K,2012-02-28,411000000.0,,,,,,,,
1,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2007-12-31,10-K,2010-02-26,178000000.0,,1092000000.0,2319000000.0,13380000000.0,,,,
2,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2007-12-31,10-K,2011-02-25,178000000.0,,,,,,,,
0,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",2006-12-31,10-K,2010-02-26,301000000.0,,,,,,,,
